contentId,titleId,platform,distribution,content_type,store,store_region,region
EP0001-NPEB00435_00-BEYONDGANDETRIAL,NPEB00435,PS3,PSN,DEMO,EP0001,EP,EUROPE
EP0001-NPEB00463_00-OUTLAND0DEMO0001,NPEB00463,PS3,PSN,DEMO,EP0001,EP,EUROPE
EP0001-NPEB00466_00-FROMDUSTTRIAL001,NPEB00466,PS3,PSN,DEMO,EP0001,EP,EUROPE
EP0001-NPEB00476_00-IAMALIVEHDDTRIAL,NPEB00476,PS3,PSN,DEMO,EP0001,EP,EUROPE
EP0001-NPEB00617_00-BABEL3DDEMO00001,NPEB00617,PS3,PSN,DEMO,EP0001,EP,EUROPE
EP0001-NPEB00989_00-ASIA00000000DEMO,NPEB00989,PS3,PSN,DEMO,EP0001,EP,EUROPE
EP0001-NPEB01214_00-ASIACALLOFJUDEMO,NPEB01214,PS3,PSN,DEMO,EP0001,EP,EUROPE
EP0001-NPEB01322_00-ASIA00000000DEMO,NPEB01322,PS3,PSN,DEMO,EP0001,EP,EUROPE
EP0006-NPEB00336_00-NANOBOTSTRIAL000,NPEB00336,PS3,PSN,DEMO,EP0006,EP,EUROPE
EP0006-NPEB00636_00-PWARPTRIAL000001,NPEB00636,PS3,PSN,DEMO,EP0006,EP,EUROPE
EP0006-NPHB00492_00-FIFASTREETDEMO00,NPHB00492,PS3,PSN,DEMO,EP0006,EP,ASIA
EP0082-NPEB00644_00-SCARYGIRLDEMO123,NPEB00644,PS3,PSN,DEMO,EP0082,EP,EUROPE
EP0082-NPEB90488_00-TRIALVERSION0100,NPEB90488,PS3,PSN,DEMO,EP0082,EP,EUROPE
EP0101-NPEB00332_00-HCUPRISING00DEMO,NPEB00332,PS3,PSN,DEMO,EP0101,EP,EUROPE
EP0101-NPEB01441_00-CMOFDEMO12341234,NPEB01441,PS3,PSN,DEMO,EP0101,EP,EUROPE
EP0101-NPEB90424_00-BLADESDEMO000001,NPEB90424,PS3,PSN,DEMO,EP0101,EP,EUROPE
EP0102-NPEB01275_00-DDTRIAL000000000,NPEB01275,PS3,PSN,DEMO,EP0102,EP,EUROPE
EP0102-NPEB01297_00-STREUHGTRIAL0001,NPEB01297,PS3,PSN,DEMO,EP0102,EP,EUROPE
EP0102-NPEB01878_00-DUSTFORCETRIAL00,NPEB01878,PS3,PSN,DEMO,EP0102,EP,EUROPE
EP0102-NPEB02128_00-TRIALANDUPGRADE0,NPEB02128,PS3,PSN,DEMO,EP0102,EP,EUROPE
EP0102-NPEB90478_00-TRIALBHRUE000001,NPEB90478,PS3,PSN,DEMO,EP0102,EP,EUROPE
EP0177-NPEB00446_00-RENEGADEOPSTRIAL,NPEB00446,PS3,PSN,DEMO,EP0177,EP,EUROPE
EP0177-NPEB00787_00-SONICCDPSNTRIAL0,NPEB00787,PS3,PSN,DEMO,EP0177,EP,EUROPE
EP0177-NPEB00831_00-HELLYEAHTRIAL000,NPEB00831,PS3,PSN,DEMO,EP0177,EP,EUROPE
EP0177-NPEB00924_00-JETSETRADIODEMO0,NPEB00924,PS3,PSN,DEMO,EP0177,EP,EUROPE
EP0177-NPEB90471_00-SONICTRANSFODEMO,NPEB90471,PS3,PSN,DEMO,EP0177,EP,EUROPE
EP0177-NPEB90498_00-PJDF393PRPRTRIAL,NPEB90498,PS3,PSN,DEMO,EP0177,EP,EUROPE
EP0182-NPEB00164_00-BLADEKITTEN1DEMO,NPEB00164,PS3,PSN,DEMO,EP0182,EP,EUROPE
EP0182-NPEB00384_00-GHOSTBUSTERSDEMO,NPEB00384,PS3,PSN,DEMO,EP0182,EP,EUROPE
EP0700-NPEB00315_00-PCEDX00001DEMOEU,NPEB00315,PS3,PSN,DEMO,EP0700,EP,EUROPE
EP0700-NPEB00333_00-GLLDX00001DEMOEU,NPEB00333,PS3,PSN,DEMO,EP0700,EP,EUROPE
EP0700-NPEB01202_00-DEMONSSOULSDL001,NPEB01202,PS3,PSN,DEMO,EP0700,EP,EUROPE
EP1001-NPEB90409_00-SPECOPSDEMO00000,NPEB90409,PS3,PSN,DEMO,EP1001,EP,EUROPE
EP1002-NPEB00031_00-REDBARONDEMO0001,NPEB00031,PS3,PSN,DEMO,EP1002,EP,EUROPE
EP1005-NPEB00594_00-VOLTRONDEMO00000,NPEB00594,PS3,PSN,DEMO,EP1005,EP,EUROPE
EP1005-NPEB90146_00-REDFACTIONDEMO09,NPEB90146,PS3,PSN,DEMO,EP1005,EP,EUROPE
EP1005-NPEB90158_00-REDFACTIONMPDEMO,NPEB90158,PS3,PSN,DEMO,EP1005,EP,EUROPE
EP1018-NPEB90327_00-MKDEMOSCEE000001,NPEB90327,PS3,PSN,DEMO,EP1018,EP,EUROPE
EP1018-NPEB90373_00-LHP2DEMOSCEE0001,NPEB90373,PS3,PSN,DEMO,EP1018,EP,EUROPE
EP1018-NPEB90379_00-HAPPYFEET2DEMOEU,NPEB90379,PS3,PSN,DEMO,EP1018,EP,EUROPE
EP1018-NPEB90405_00-ARKHAMCITYDEMO01,NPEB90405,PS3,PSN,DEMO,EP1018,EP,EUROPE
EP1018-NPEB90434_00-LB2DEMOGAME00000,NPEB90434,PS3,PSN,DEMO,EP1018,EP,EUROPE
EP1018-NPEB90495_00-000INJUSTICEDEMO,NPEB90495,PS3,PSN,DEMO,EP1018,EP,EUROPE
EP1018-NPEB90524_00-LEGOMOVIEDEMO000,NPEB90524,PS3,PSN,DEMO,EP1018,EP,EUROPE
EP1018-NPEB90537_00-LEGOBATMAN3DEMO0,NPEB90537,PS3,PSN,DEMO,EP1018,EP,EUROPE
EP1018-NPEB90554_00-LEGOJWDEMO000001,NPEB90554,PS3,PSN,DEMO,EP1018,EP,EUROPE
EP1018-NPEB90560_00-LEGOAVENGERSDEMO,NPEB90560,PS3,PSN,DEMO,EP1018,EP,EUROPE
EP2004-NPEB90286_00-SKYFIGHTERDEMO00,NPEB90286,PS3,PSN,DEMO,EP2004,EP,EUROPE
EP2006-NPEB00156_00-TVSKPSNDEMO75722,NPEB00156,PS3,PSN,DEMO,EP2006,EP,EUROPE
EP2006-NPEB00158_00-TANKBATTLE00DEMO,NPEB00158,PS3,PSN,DEMO,EP2006,EP,EUROPE
EP2006-NPEB00171_00-HDDDEMOONLINE001,NPEB00171,PS3,PSN,DEMO,EP2006,EP,EUROPE
EP2006-NPEB00289_00-DHRALLIANCETRIAL,NPEB00289,PS3,PSN,DEMO,EP2006,EP,EUROPE
EP2006-NPEB00290_00-MODERNCSANDTRIAL,NPEB00290,PS3,PSN,DEMO,EP2006,EP,EUROPE
EP2028-NPEB00853_00-CHOPLIFTERTRIAL0,NPEB00853,PS3,PSN,DEMO,EP2028,EP,EUROPE
EP2032-NPEB01989_00-SKULLGIRLSTRIAL0,NPEB01989,PS3,PSN,DEMO,EP2032,EP,EUROPE
EP2037-NPEB00819_00-ASIAD13DEMO00001,NPEB00819,PS3,PSN,DEMO,EP2037,EP,EUROPE
EP2039-NPEB00646_00-BURGERTIMEWTDEMO,NPEB00646,PS3,PSN,DEMO,EP2039,EP,EUROPE
EP2046-NPEB00395_00-HOARDDEMOEURO003,NPEB00395,PS3,PSN,DEMO,EP2046,EP,EUROPE
EP2046-NPEB00395_00-HOARDDEMOLOCKED3,NPEB00395,PS3,PSN,DEMO,EP2046,EP,EUROPE
EP2055-NPEB01109_00-ASIA00000000DEMO,NPEB01109,PS3,PSN,DEMO,EP2055,EP,EUROPE
EP2059-NPEB01374_00-SANCTUMTRIAL1234,NPEB01374,PS3,PSN,DEMO,EP2059,EP,EUROPE
EP4001-NPEB90440_00-RACESTARSTHEDEMO,NPEB90440,PS3,PSN,DEMO,EP4001,EP,EUROPE
EP4008-NPEB90557_00-MCCDEMO000000000,NPEB90557,PS3,PSN,DEMO,EP4008,EP,EUROPE
