GameId	Region	GameTitle	URL	Eboot	Icon0	ParamSfo	Pic1	Snd0	Have
ASIA00048	AS	Ultimate Shooter Pack: Resistance 3 / Killzone 3		games/Ultimate Shooter Pack: Resistance 3 / Killzone 3 [ASIA00048]/PS3_GAME/USRDIR/EBOOT.BIN	games/Ultimate Shooter Pack: Resistance 3 / Killzone 3 [ASIA00048]/PS3_GAME/ICON0.PNG	games/Ultimate Shooter Pack: Resistance 3 / Killzone 3 [ASIA00048]/PS3_GAME/PARAM.SFO	games/Ultimate Shooter Pack: Resistance 3 / Killzone 3 [ASIA00048]/PS3_GAME/PIC1.PNG	games/Ultimate Shooter Pack: Resistance 3 / Killzone 3 [ASIA00048]/PS3_GAME/SND0.AT3	0
ASIA00049	AS	Square Enix Adventure Pack: Tomb Raider / Sleeping Dogs		games/Square Enix Adventure Pack: Tomb Raider / Sleeping Dogs [ASIA00049]/PS3_GAME/USRDIR/EBOOT.BIN	games/Square Enix Adventure Pack: Tomb Raider / Sleeping Dogs [ASIA00049]/PS3_GAME/ICON0.PNG	games/Square Enix Adventure Pack: Tomb Raider / Sleeping Dogs [ASIA00049]/PS3_GAME/PARAM.SFO	games/Square Enix Adventure Pack: Tomb Raider / Sleeping Dogs [ASIA00049]/PS3_GAME/PIC1.PNG	games/Square Enix Adventure Pack: Tomb Raider / Sleeping Dogs [ASIA00049]/PS3_GAME/SND0.AT3	0
ASIA00052	AS	PS3 Best Hit Collection Vol. 2: Resistance 3 / God of War III		games/PS3 Best Hit Collection Vol. 2: Resistance 3 / God of War III [ASIA0005]/PS3_GAME/USRDIR/EBOOT.BIN	games/PS3 Best Hit Collection Vol. 2: Resistance 3 / God of War III [ASIA0005]/PS3_GAME/ICON0.PNG	games/PS3 Best Hit Collection Vol. 2: Resistance 3 / God of War III [ASIA0005]/PS3_GAME/PARAM.SFO	games/PS3 Best Hit Collection Vol. 2: Resistance 3 / God of War III [ASIA0005]/PS3_GAME/PIC1.PNG	games/PS3 Best Hit Collection Vol. 2: Resistance 3 / God of War III [ASIA0005]/PS3_GAME/SND0.AT3	0
ASIA00050	AS	Ultimate Adventure Pack: Uncharted 3: Drake's Deception / God of War III		games/Ultimate Adventure Pack: Uncharted 3: Drake's Deception / God of War III [ASIA00050]/PS3_GAME/USRDIR/EBOOT.BIN	games/Ultimate Adventure Pack: Uncharted 3: Drake's Deception / God of War III [ASIA00050]/PS3_GAME/ICON0.PNG	games/Ultimate Adventure Pack: Uncharted 3: Drake's Deception / God of War III [ASIA00050]/PS3_GAME/PARAM.SFO	games/Ultimate Adventure Pack: Uncharted 3: Drake's Deception / God of War III [ASIA00050]/PS3_GAME/PIC1.PNG	games/Ultimate Adventure Pack: Uncharted 3: Drake's Deception / God of War III [ASIA00050]/PS3_GAME/SND0.AT3	0
ASIA00051	AS	PS3 Best Hit Collection Vol. 1: Uncharted 3: Drake's Deception / LittleBigPlanet 2		games/PS3 Best Hit Collection Vol. 1: Uncharted 3: Drake's Deception / LittleBigPlanet 2 [ASIA00051]/PS3_GAME/USRDIR/EBOOT.BIN	games/PS3 Best Hit Collection Vol. 1: Uncharted 3: Drake's Deception / LittleBigPlanet 2 [ASIA00051]/PS3_GAME/ICON0.PNG	games/PS3 Best Hit Collection Vol. 1: Uncharted 3: Drake's Deception / LittleBigPlanet 2 [ASIA00051]/PS3_GAME/PARAM.SFO	games/PS3 Best Hit Collection Vol. 1: Uncharted 3: Drake's Deception / LittleBigPlanet 2 [ASIA00051]/PS3_GAME/PIC1.PNG	games/PS3 Best Hit Collection Vol. 1: Uncharted 3: Drake's Deception / LittleBigPlanet 2 [ASIA00051]/PS3_GAME/SND0.AT3	0
ASIA00074	AS	Ultimate Uncharted Pack		games/Ultimate Uncharted Pack [ASIA00074]/PS3_GAME/USRDIR/EBOOT.BIN	games/Ultimate Uncharted Pack [ASIA00074]/PS3_GAME/ICON0.PNG	games/Ultimate Uncharted Pack [ASIA00074]/PS3_GAME/PARAM.SFO	games/Ultimate Uncharted Pack [ASIA00074]/PS3_GAME/PIC1.PNG	games/Ultimate Uncharted Pack [ASIA00074]/PS3_GAME/SND0.AT3	0
ATS201009	UN	Catherine Best Selection		games/Catherine Best Selection [ATS201009]/PS3_GAME/USRDIR/EBOOT.BIN	games/Catherine Best Selection [ATS201009]/PS3_GAME/ICON0.PNG	games/Catherine Best Selection [ATS201009]/PS3_GAME/PARAM.SFO	games/Catherine Best Selection [ATS201009]/PS3_GAME/PIC1.PNG	games/Catherine Best Selection [ATS201009]/PS3_GAME/SND0.AT3	0
XCES00001	EU	Ratchet & Clank: QForce		games/Ratchet & Clank: QForce [XCES00001]/PS3_GAME/USRDIR/EBOOT.BIN	games/Ratchet & Clank: QForce [XCES00001]/PS3_GAME/ICON0.PNG	games/Ratchet & Clank: QForce [XCES00001]/PS3_GAME/PARAM.SFO	games/Ratchet & Clank: QForce [XCES00001]/PS3_GAME/PIC1.PNG	games/Ratchet & Clank: QForce [XCES00001]/PS3_GAME/SND0.AT3	0
BCUS98281	US	Jak & Daxter  Collection		games/Jak & Daxter  Collection [BCUS98281]/PS3_GAME/USRDIR/EBOOT.BIN	games/Jak & Daxter  Collection [BCUS98281]/PS3_GAME/ICON0.PNG	games/Jak & Daxter  Collection [BCUS98281]/PS3_GAME/PARAM.SFO	games/Jak & Daxter  Collection [BCUS98281]/PS3_GAME/PIC1.PNG	games/Jak & Daxter  Collection [BCUS98281]/PS3_GAME/SND0.AT3	0
BCAS20022	AS	Tom Clancy's Ghost Recon Advanced Warfighter 2		games/Tom Clancy's Ghost Recon Advanced Warfighter 2 [BCAS200]/PS3_GAME/USRDIR/EBOOT.BIN	games/Tom Clancy's Ghost Recon Advanced Warfighter 2 [BCAS200]/PS3_GAME/ICON0.PNG	games/Tom Clancy's Ghost Recon Advanced Warfighter 2 [BCAS200]/PS3_GAME/PARAM.SFO	games/Tom Clancy's Ghost Recon Advanced Warfighter 2 [BCAS200]/PS3_GAME/PIC1.PNG	games/Tom Clancy's Ghost Recon Advanced Warfighter 2 [BCAS200]/PS3_GAME/SND0.AT3	0
BCAS20002	AS	Genji: Kamui Souran		games/Genji: Kamui Souran [BCAS2000]/PS3_GAME/USRDIR/EBOOT.BIN	games/Genji: Kamui Souran [BCAS2000]/PS3_GAME/ICON0.PNG	games/Genji: Kamui Souran [BCAS2000]/PS3_GAME/PARAM.SFO	games/Genji: Kamui Souran [BCAS2000]/PS3_GAME/PIC1.PNG	games/Genji: Kamui Souran [BCAS2000]/PS3_GAME/SND0.AT3	0
BCAS20001	AS	Ridge Racer 7		games/Ridge Racer 7 [BCAS20001]/PS3_GAME/USRDIR/EBOOT.BIN	games/Ridge Racer 7 [BCAS20001]/PS3_GAME/ICON0.PNG	games/Ridge Racer 7 [BCAS20001]/PS3_GAME/PARAM.SFO	games/Ridge Racer 7 [BCAS20001]/PS3_GAME/PIC1.PNG	games/Ridge Racer 7 [BCAS20001]/PS3_GAME/SND0.AT3	0
BCAS20003	AS	Resistance : Fall of Man		games/Resistance : Fall of Man [BCAS20003]/PS3_GAME/USRDIR/EBOOT.BIN	games/Resistance : Fall of Man [BCAS20003]/PS3_GAME/ICON0.PNG	games/Resistance : Fall of Man [BCAS20003]/PS3_GAME/PARAM.SFO	games/Resistance : Fall of Man [BCAS20003]/PS3_GAME/PIC1.PNG	games/Resistance : Fall of Man [BCAS20003]/PS3_GAME/SND0.AT3	0
BCAS20004	AS	MotorStorm		games/MotorStorm [BCAS20004]/PS3_GAME/USRDIR/EBOOT.BIN	games/MotorStorm [BCAS20004]/PS3_GAME/ICON0.PNG	games/MotorStorm [BCAS20004]/PS3_GAME/PARAM.SFO	games/MotorStorm [BCAS20004]/PS3_GAME/PIC1.PNG	games/MotorStorm [BCAS20004]/PS3_GAME/SND0.AT3	0
BCAS20005	AS	Armored Core 4		games/Armored Core 4 [BCAS20005]/PS3_GAME/USRDIR/EBOOT.BIN	games/Armored Core 4 [BCAS20005]/PS3_GAME/ICON0.PNG	games/Armored Core 4 [BCAS20005]/PS3_GAME/PARAM.SFO	games/Armored Core 4 [BCAS20005]/PS3_GAME/PIC1.PNG	games/Armored Core 4 [BCAS20005]/PS3_GAME/SND0.AT3	0
BCUS98102	US	NBA '07		games/NBA '07 [BCUS9810]/PS3_GAME/USRDIR/EBOOT.BIN	games/NBA '07 [BCUS9810]/PS3_GAME/ICON0.PNG	games/NBA '07 [BCUS9810]/PS3_GAME/PARAM.SFO	games/NBA '07 [BCUS9810]/PS3_GAME/PIC1.PNG	games/NBA '07 [BCUS9810]/PS3_GAME/SND0.AT3	0
BCAS20007	AS	Railfan		games/Railfan [BCAS20007]/PS3_GAME/USRDIR/EBOOT.BIN	games/Railfan [BCAS20007]/PS3_GAME/ICON0.PNG	games/Railfan [BCAS20007]/PS3_GAME/PARAM.SFO	games/Railfan [BCAS20007]/PS3_GAME/PIC1.PNG	games/Railfan [BCAS20007]/PS3_GAME/SND0.AT3	0
BCAS20008	AS	Enchant Arm		games/Enchant Arm [BCAS20008]/PS3_GAME/USRDIR/EBOOT.BIN	games/Enchant Arm [BCAS20008]/PS3_GAME/ICON0.PNG	games/Enchant Arm [BCAS20008]/PS3_GAME/PARAM.SFO	games/Enchant Arm [BCAS20008]/PS3_GAME/PIC1.PNG	games/Enchant Arm [BCAS20008]/PS3_GAME/SND0.AT3	0
BCAS20009	AS	Formula One Championship Edition		games/Formula One Championship Edition [BCAS20009]/PS3_GAME/USRDIR/EBOOT.BIN	games/Formula One Championship Edition [BCAS20009]/PS3_GAME/ICON0.PNG	games/Formula One Championship Edition [BCAS20009]/PS3_GAME/PARAM.SFO	games/Formula One Championship Edition [BCAS20009]/PS3_GAME/PIC1.PNG	games/Formula One Championship Edition [BCAS20009]/PS3_GAME/SND0.AT3	0
NPUB30851	US	Ninja Gaiden Sigma	http://zeus.dl.playstation.net/cdn/UP4108/NPUB30851_00/avhTgCBJBpHMAHIMJsZkuVughQmllsZBKarucJCkaAgOyioGHVTFbHzaZckCUePW.pkg	dev_hdd0/game/NPUB30851/USRDIR/EBOOT.BIN	dev_hdd0/game/NPUB30851/ICON0.PNG	dev_hdd0/game/NPUB30851/USRDIR/PARAM.SFO	dev_hdd0/game/NPUB30851/PIC1.PNG	dev_hdd0/game/NPUB30851/USRDIR/SND0.AT3	0
BCAS20010	AS	MLB 07: The Show		games/MLB 07: The Show [BCAS20010]/PS3_GAME/USRDIR/EBOOT.BIN	games/MLB 07: The Show [BCAS20010]/PS3_GAME/ICON0.PNG	games/MLB 07: The Show [BCAS20010]/PS3_GAME/PARAM.SFO	games/MLB 07: The Show [BCAS20010]/PS3_GAME/PIC1.PNG	games/MLB 07: The Show [BCAS20010]/PS3_GAME/SND0.AT3	0
BCAS20013	AS	Folklore		games/Folklore [BCAS20013]/PS3_GAME/USRDIR/EBOOT.BIN	games/Folklore [BCAS20013]/PS3_GAME/ICON0.PNG	games/Folklore [BCAS20013]/PS3_GAME/PARAM.SFO	games/Folklore [BCAS20013]/PS3_GAME/PIC1.PNG	games/Folklore [BCAS20013]/PS3_GAME/SND0.AT3	0
BCAS20014	AS	龍潭虎穴		games/龍潭虎穴 [BCAS20014]/PS3_GAME/USRDIR/EBOOT.BIN	games/龍潭虎穴 [BCAS20014]/PS3_GAME/ICON0.PNG	games/龍潭虎穴 [BCAS20014]/PS3_GAME/PARAM.SFO	games/龍潭虎穴 [BCAS20014]/PS3_GAME/PIC1.PNG	games/龍潭虎穴 [BCAS20014]/PS3_GAME/SND0.AT3	0
NPJA00008	JP	Warhawk		dev_hdd0/game/NPJA00008/USRDIR/EBOOT.BIN	dev_hdd0/game/NPJA00008/ICON0.PNG	dev_hdd0/game/NPJA00008/USRDIR/PARAM.SFO	dev_hdd0/game/NPJA00008/PIC1.PNG	dev_hdd0/game/NPJA00008/USRDIR/SND0.AT3	0
BCUS98132	US	Heavenly Sword		games/Heavenly Sword [BCUS9813]/PS3_GAME/USRDIR/EBOOT.BIN	games/Heavenly Sword [BCUS9813]/PS3_GAME/ICON0.PNG	games/Heavenly Sword [BCUS9813]/PS3_GAME/PARAM.SFO	games/Heavenly Sword [BCUS9813]/PS3_GAME/PIC1.PNG	games/Heavenly Sword [BCUS9813]/PS3_GAME/SND0.AT3	0
BCAS20018	AS	Railfan Taiwan High Speed Rail		games/Railfan Taiwan High Speed Rail [BCAS20018]/PS3_GAME/USRDIR/EBOOT.BIN	games/Railfan Taiwan High Speed Rail [BCAS20018]/PS3_GAME/ICON0.PNG	games/Railfan Taiwan High Speed Rail [BCAS20018]/PS3_GAME/PARAM.SFO	games/Railfan Taiwan High Speed Rail [BCAS20018]/PS3_GAME/PIC1.PNG	games/Railfan Taiwan High Speed Rail [BCAS20018]/PS3_GAME/SND0.AT3	0
BCAS20019	AS	Everybody's Golf 5		games/Everybody's Golf 5 [BCAS20019]/PS3_GAME/USRDIR/EBOOT.BIN	games/Everybody's Golf 5 [BCAS20019]/PS3_GAME/ICON0.PNG	games/Everybody's Golf 5 [BCAS20019]/PS3_GAME/PARAM.SFO	games/Everybody's Golf 5 [BCAS20019]/PS3_GAME/PIC1.PNG	games/Everybody's Golf 5 [BCAS20019]/PS3_GAME/SND0.AT3	0
BCAS20020	AS	Wangan Midnight		games/Wangan Midnight [BCAS20020]/PS3_GAME/USRDIR/EBOOT.BIN	games/Wangan Midnight [BCAS20020]/PS3_GAME/ICON0.PNG	games/Wangan Midnight [BCAS20020]/PS3_GAME/PARAM.SFO	games/Wangan Midnight [BCAS20020]/PS3_GAME/PIC1.PNG	games/Wangan Midnight [BCAS20020]/PS3_GAME/SND0.AT3	0
BCAS20021	AS	The Eye of Judgement		games/The Eye of Judgement [BCAS20021]/PS3_GAME/USRDIR/EBOOT.BIN	games/The Eye of Judgement [BCAS20021]/PS3_GAME/ICON0.PNG	games/The Eye of Judgement [BCAS20021]/PS3_GAME/PARAM.SFO	games/The Eye of Judgement [BCAS20021]/PS3_GAME/PIC1.PNG	games/The Eye of Judgement [BCAS20021]/PS3_GAME/SND0.AT3	0
BCAS20023	AS	Ratchet & Clank: A Crack in Time		games/Ratchet & Clank: A Crack in Time [BCAS20023]/PS3_GAME/USRDIR/EBOOT.BIN	games/Ratchet & Clank: A Crack in Time [BCAS20023]/PS3_GAME/ICON0.PNG	games/Ratchet & Clank: A Crack in Time [BCAS20023]/PS3_GAME/PARAM.SFO	games/Ratchet & Clank: A Crack in Time [BCAS20023]/PS3_GAME/PIC1.PNG	games/Ratchet & Clank: A Crack in Time [BCAS20023]/PS3_GAME/SND0.AT3	0
BCAS20024	AS	Uncharted: Drake's Fortune		games/Uncharted: Drake's Fortune [BCAS20024]/PS3_GAME/USRDIR/EBOOT.BIN	games/Uncharted: Drake's Fortune [BCAS20024]/PS3_GAME/ICON0.PNG	games/Uncharted: Drake's Fortune [BCAS20024]/PS3_GAME/PARAM.SFO	games/Uncharted: Drake's Fortune [BCAS20024]/PS3_GAME/PIC1.PNG	games/Uncharted: Drake's Fortune [BCAS20024]/PS3_GAME/SND0.AT3	0
BCUS98144	US	NBA 08		games/NBA 08 [BCUS98144]/PS3_GAME/USRDIR/EBOOT.BIN	games/NBA 08 [BCUS98144]/PS3_GAME/ICON0.PNG	games/NBA 08 [BCUS98144]/PS3_GAME/PARAM.SFO	games/NBA 08 [BCUS98144]/PS3_GAME/PIC1.PNG	games/NBA 08 [BCUS98144]/PS3_GAME/SND0.AT3	0
BCAS20026	AS	Time Crisis 4 (with GunCon 3)		games/Time Crisis 4 (with GunCon 3) [BCAS20026]/PS3_GAME/USRDIR/EBOOT.BIN	games/Time Crisis 4 (with GunCon 3) [BCAS20026]/PS3_GAME/ICON0.PNG	games/Time Crisis 4 (with GunCon 3) [BCAS20026]/PS3_GAME/PARAM.SFO	games/Time Crisis 4 (with GunCon 3) [BCAS20026]/PS3_GAME/PIC1.PNG	games/Time Crisis 4 (with GunCon 3) [BCAS20026]/PS3_GAME/SND0.AT3	0
BCAS20027	AS	Gran Turismo 5: Prologue		games/Gran Turismo 5: Prologue [BCAS20027]/PS3_GAME/USRDIR/EBOOT.BIN	games/Gran Turismo 5: Prologue [BCAS20027]/PS3_GAME/ICON0.PNG	games/Gran Turismo 5: Prologue [BCAS20027]/PS3_GAME/PARAM.SFO	games/Gran Turismo 5: Prologue [BCAS20027]/PS3_GAME/PIC1.PNG	games/Gran Turismo 5: Prologue [BCAS20027]/PS3_GAME/SND0.AT3	0
BCAS20028	AS	Beowolf: The Game		games/Beowolf: The Game [BCAS20028]/PS3_GAME/USRDIR/EBOOT.BIN	games/Beowolf: The Game [BCAS20028]/PS3_GAME/ICON0.PNG	games/Beowolf: The Game [BCAS20028]/PS3_GAME/PARAM.SFO	games/Beowolf: The Game [BCAS20028]/PS3_GAME/PIC1.PNG	games/Beowolf: The Game [BCAS20028]/PS3_GAME/SND0.AT3	0
BCAS20029	AS	Brothers in Arms: Hell's Highway		games/Brothers in Arms: Hell's Highway [BCAS20029]/PS3_GAME/USRDIR/EBOOT.BIN	games/Brothers in Arms: Hell's Highway [BCAS20029]/PS3_GAME/ICON0.PNG	games/Brothers in Arms: Hell's Highway [BCAS20029]/PS3_GAME/PARAM.SFO	games/Brothers in Arms: Hell's Highway [BCAS20029]/PS3_GAME/PIC1.PNG	games/Brothers in Arms: Hell's Highway [BCAS20029]/PS3_GAME/SND0.AT3	0
BCAS20032	AS	Trusty Bell: Chopin no Yume Reprise		games/Trusty Bell: Chopin no Yume Reprise [BCAS2003]/PS3_GAME/USRDIR/EBOOT.BIN	games/Trusty Bell: Chopin no Yume Reprise [BCAS2003]/PS3_GAME/ICON0.PNG	games/Trusty Bell: Chopin no Yume Reprise [BCAS2003]/PS3_GAME/PARAM.SFO	games/Trusty Bell: Chopin no Yume Reprise [BCAS2003]/PS3_GAME/PIC1.PNG	games/Trusty Bell: Chopin no Yume Reprise [BCAS2003]/PS3_GAME/SND0.AT3	0
BCAS20030	AS	Haze		games/Haze [BCAS20030]/PS3_GAME/USRDIR/EBOOT.BIN	games/Haze [BCAS20030]/PS3_GAME/ICON0.PNG	games/Haze [BCAS20030]/PS3_GAME/PARAM.SFO	games/Haze [BCAS20030]/PS3_GAME/PIC1.PNG	games/Haze [BCAS20030]/PS3_GAME/SND0.AT3	0
BCAS20031	AS	Makai Senki Disgaea 3		games/Makai Senki Disgaea 3 [BCAS20031]/PS3_GAME/USRDIR/EBOOT.BIN	games/Makai Senki Disgaea 3 [BCAS20031]/PS3_GAME/ICON0.PNG	games/Makai Senki Disgaea 3 [BCAS20031]/PS3_GAME/PARAM.SFO	games/Makai Senki Disgaea 3 [BCAS20031]/PS3_GAME/PIC1.PNG	games/Makai Senki Disgaea 3 [BCAS20031]/PS3_GAME/SND0.AT3	0
BCAS20033	AS	Lost: Via Domus		games/Lost: Via Domus [BCAS20033]/PS3_GAME/USRDIR/EBOOT.BIN	games/Lost: Via Domus [BCAS20033]/PS3_GAME/ICON0.PNG	games/Lost: Via Domus [BCAS20033]/PS3_GAME/PARAM.SFO	games/Lost: Via Domus [BCAS20033]/PS3_GAME/PIC1.PNG	games/Lost: Via Domus [BCAS20033]/PS3_GAME/SND0.AT3	0
BCAS20034	AS	Armored Core: For Answer		games/Armored Core: For Answer [BCAS20034]/PS3_GAME/USRDIR/EBOOT.BIN	games/Armored Core: For Answer [BCAS20034]/PS3_GAME/ICON0.PNG	games/Armored Core: For Answer [BCAS20034]/PS3_GAME/PARAM.SFO	games/Armored Core: For Answer [BCAS20034]/PS3_GAME/PIC1.PNG	games/Armored Core: For Answer [BCAS20034]/PS3_GAME/SND0.AT3	0
BCAS20035	AS	Motorstorm Complete		games/Motorstorm Complete [BCAS20035]/PS3_GAME/USRDIR/EBOOT.BIN	games/Motorstorm Complete [BCAS20035]/PS3_GAME/ICON0.PNG	games/Motorstorm Complete [BCAS20035]/PS3_GAME/PARAM.SFO	games/Motorstorm Complete [BCAS20035]/PS3_GAME/PIC1.PNG	games/Motorstorm Complete [BCAS20035]/PS3_GAME/SND0.AT3	0
BLUS30116	US	Dark Sector		games/Dark Sector [BLUS30116]/PS3_GAME/USRDIR/EBOOT.BIN	games/Dark Sector [BLUS30116]/PS3_GAME/ICON0.PNG	games/Dark Sector [BLUS30116]/PS3_GAME/PARAM.SFO	games/Dark Sector [BLUS30116]/PS3_GAME/PIC1.PNG	games/Dark Sector [BLUS30116]/PS3_GAME/SND0.AT3	0
BCAS20037	AS	Resistance: Fall of Man (PlayStation 3 the Best)		games/Resistance: Fall of Man (PlayStation 3 the Best) [BCAS20037]/PS3_GAME/USRDIR/EBOOT.BIN	games/Resistance: Fall of Man (PlayStation 3 the Best) [BCAS20037]/PS3_GAME/ICON0.PNG	games/Resistance: Fall of Man (PlayStation 3 the Best) [BCAS20037]/PS3_GAME/PARAM.SFO	games/Resistance: Fall of Man (PlayStation 3 the Best) [BCAS20037]/PS3_GAME/PIC1.PNG	games/Resistance: Fall of Man (PlayStation 3 the Best) [BCAS20037]/PS3_GAME/SND0.AT3	0
BCAS20038	AS	FolksSoul: Ushinawareta Denshou / Folklore (PlayStation 3 the Best)		games/FolksSoul: Ushinawareta Denshou / Folklore (PlayStation 3 the Best) [BCAS20038]/PS3_GAME/USRDIR/EBOOT.BIN	games/FolksSoul: Ushinawareta Denshou / Folklore (PlayStation 3 the Best) [BCAS20038]/PS3_GAME/ICON0.PNG	games/FolksSoul: Ushinawareta Denshou / Folklore (PlayStation 3 the Best) [BCAS20038]/PS3_GAME/PARAM.SFO	games/FolksSoul: Ushinawareta Denshou / Folklore (PlayStation 3 the Best) [BCAS20038]/PS3_GAME/PIC1.PNG	games/FolksSoul: Ushinawareta Denshou / Folklore (PlayStation 3 the Best) [BCAS20038]/PS3_GAME/SND0.AT3	0
BCAS20039	AS	Ridge Racer 7 (PlayStation 3 the Best)		games/Ridge Racer 7 (PlayStation 3 the Best) [BCAS20039]/PS3_GAME/USRDIR/EBOOT.BIN	games/Ridge Racer 7 (PlayStation 3 the Best) [BCAS20039]/PS3_GAME/ICON0.PNG	games/Ridge Racer 7 (PlayStation 3 the Best) [BCAS20039]/PS3_GAME/PARAM.SFO	games/Ridge Racer 7 (PlayStation 3 the Best) [BCAS20039]/PS3_GAME/PIC1.PNG	games/Ridge Racer 7 (PlayStation 3 the Best) [BCAS20039]/PS3_GAME/SND0.AT3	0
BCAS20042	AS	MLB 08 : The Show		games/MLB 08 : The Show [BCAS2004]/PS3_GAME/USRDIR/EBOOT.BIN	games/MLB 08 : The Show [BCAS2004]/PS3_GAME/ICON0.PNG	games/MLB 08 : The Show [BCAS2004]/PS3_GAME/PARAM.SFO	games/MLB 08 : The Show [BCAS2004]/PS3_GAME/PIC1.PNG	games/MLB 08 : The Show [BCAS2004]/PS3_GAME/SND0.AT3	0
BCAS20040	AS	Ninja Gaiden Sigma (PlayStation 3 the Best)		games/Ninja Gaiden Sigma (PlayStation 3 the Best) [BCAS20040]/PS3_GAME/USRDIR/EBOOT.BIN	games/Ninja Gaiden Sigma (PlayStation 3 the Best) [BCAS20040]/PS3_GAME/ICON0.PNG	games/Ninja Gaiden Sigma (PlayStation 3 the Best) [BCAS20040]/PS3_GAME/PARAM.SFO	games/Ninja Gaiden Sigma (PlayStation 3 the Best) [BCAS20040]/PS3_GAME/PIC1.PNG	games/Ninja Gaiden Sigma (PlayStation 3 the Best) [BCAS20040]/PS3_GAME/SND0.AT3	0
BCAS20041	AS	Hot Shots Golf : Out of Bounds		games/Hot Shots Golf : Out of Bounds [BCAS20041]/PS3_GAME/USRDIR/EBOOT.BIN	games/Hot Shots Golf : Out of Bounds [BCAS20041]/PS3_GAME/ICON0.PNG	games/Hot Shots Golf : Out of Bounds [BCAS20041]/PS3_GAME/PARAM.SFO	games/Hot Shots Golf : Out of Bounds [BCAS20041]/PS3_GAME/PIC1.PNG	games/Hot Shots Golf : Out of Bounds [BCAS20041]/PS3_GAME/SND0.AT3	0
BCAS20043	AS	Battle Fantasia		games/Battle Fantasia [BCAS20043]/PS3_GAME/USRDIR/EBOOT.BIN	games/Battle Fantasia [BCAS20043]/PS3_GAME/ICON0.PNG	games/Battle Fantasia [BCAS20043]/PS3_GAME/PARAM.SFO	games/Battle Fantasia [BCAS20043]/PS3_GAME/PIC1.PNG	games/Battle Fantasia [BCAS20043]/PS3_GAME/SND0.AT3	0
BCAS20044	AS	MotorStorm II		games/MotorStorm II [BCAS20044]/PS3_GAME/USRDIR/EBOOT.BIN	games/MotorStorm II [BCAS20044]/PS3_GAME/ICON0.PNG	games/MotorStorm II [BCAS20044]/PS3_GAME/PARAM.SFO	games/MotorStorm II [BCAS20044]/PS3_GAME/PIC1.PNG	games/MotorStorm II [BCAS20044]/PS3_GAME/SND0.AT3	0
BCAS20045	AS	Ratchet & Clank: Tools of Destruction (PlayStation 3 the Best)		games/Ratchet & Clank: Tools of Destruction (PlayStation 3 the Best) [BCAS20045]/PS3_GAME/USRDIR/EBOOT.BIN	games/Ratchet & Clank: Tools of Destruction (PlayStation 3 the Best) [BCAS20045]/PS3_GAME/ICON0.PNG	games/Ratchet & Clank: Tools of Destruction (PlayStation 3 the Best) [BCAS20045]/PS3_GAME/PARAM.SFO	games/Ratchet & Clank: Tools of Destruction (PlayStation 3 the Best) [BCAS20045]/PS3_GAME/PIC1.PNG	games/Ratchet & Clank: Tools of Destruction (PlayStation 3 the Best) [BCAS20045]/PS3_GAME/SND0.AT3	0
BCAS20046	AS	Tears to Tiara : Kakan no Daichi		games/Tears to Tiara : Kakan no Daichi [BCAS20046]/PS3_GAME/USRDIR/EBOOT.BIN	games/Tears to Tiara : Kakan no Daichi [BCAS20046]/PS3_GAME/ICON0.PNG	games/Tears to Tiara : Kakan no Daichi [BCAS20046]/PS3_GAME/PARAM.SFO	games/Tears to Tiara : Kakan no Daichi [BCAS20046]/PS3_GAME/PIC1.PNG	games/Tears to Tiara : Kakan no Daichi [BCAS20046]/PS3_GAME/SND0.AT3	0
BCAS20047	AS	SIREN: New Translation		games/SIREN: New Translation [BCAS20047]/PS3_GAME/USRDIR/EBOOT.BIN	games/SIREN: New Translation [BCAS20047]/PS3_GAME/ICON0.PNG	games/SIREN: New Translation [BCAS20047]/PS3_GAME/PARAM.SFO	games/SIREN: New Translation [BCAS20047]/PS3_GAME/PIC1.PNG	games/SIREN: New Translation [BCAS20047]/PS3_GAME/SND0.AT3	0
BCAS20048	AS	SoulCalibur IV		games/SoulCalibur IV [BCAS20048]/PS3_GAME/USRDIR/EBOOT.BIN	games/SoulCalibur IV [BCAS20048]/PS3_GAME/ICON0.PNG	games/SoulCalibur IV [BCAS20048]/PS3_GAME/PARAM.SFO	games/SoulCalibur IV [BCAS20048]/PS3_GAME/PIC1.PNG	games/SoulCalibur IV [BCAS20048]/PS3_GAME/SND0.AT3	0
BCAS20049	AS	Vampire Rain : Altered Species		games/Vampire Rain : Altered Species [BCAS20049]/PS3_GAME/USRDIR/EBOOT.BIN	games/Vampire Rain : Altered Species [BCAS20049]/PS3_GAME/ICON0.PNG	games/Vampire Rain : Altered Species [BCAS20049]/PS3_GAME/PARAM.SFO	games/Vampire Rain : Altered Species [BCAS20049]/PS3_GAME/PIC1.PNG	games/Vampire Rain : Altered Species [BCAS20049]/PS3_GAME/SND0.AT3	0
